,id,name,addr,gcj_lng,gcj_lat,walking_duration,driving__duration,Public_transport_duration,monthly_rent,poi_entropy_800m,poi_counts_800m
111,B00155MPE0,万科·金色公馆,上海市浦东新区济阳路333弄1-11号,121.483413,31.161458,23.816666666666663,11.183333333333334,28.716666666666665,2200.0,3.2046165112010714,"{ ""交通设施"": 50, ""休闲娱乐"": 5, ""公司企业"": 71, ""医疗保健"": 16, ""商务住宅"": 72, ""旅游景点"": 2, ""汽车相关"": 11, ""生活服务"": 124, ""科教文化"": 26, ""购物消费"": 102, ""运动健身"": 25, ""酒店住宿"": 5, ""金融机构"": 12, ""餐饮美食"": 85 }"
112,B00155LCD4,万科金色雅筑,上海市浦东新区三林路1300弄之1-63号,121.518117,31.14382,56.9,18.95,27.75,11962.5,3.2027469355888925,"{ ""交通设施"": 117, ""休闲娱乐"": 20, ""公司企业"": 55, ""医疗保健"": 60, ""商务住宅"": 76, ""旅游景点"": 5, ""汽车相关"": 29, ""生活服务"": 236, ""科教文化"": 73, ""购物消费"": 275, ""运动健身"": 29, ""酒店住宿"": 21, ""金融机构"": 19, ""餐饮美食"": 171 }"
113,B00155L89C,成发苑,上海市浦东新区后长街78号,121.496703,31.162916,35.31666666666667,14.066666666666666,22.916666666666668,2062.5,3.154054670818456,"{ ""交通设施"": 122, ""休闲娱乐"": 26, ""公司企业"": 86, ""医疗保健"": 48, ""商务住宅"": 103, ""旅游景点"": 12, ""汽车相关"": 20, ""生活服务"": 286, ""科教文化"": 84, ""购物消费"": 343, ""运动健身"": 26, ""酒店住宿"": 33, ""金融机构"": 25, ""餐饮美食"": 273 }"
114,B00155L4PU,洪山花苑,上海市浦东新区洪山路300弄1-22号,121.50013,31.170498,48.63333333333333,17.916666666666668,25.183333333333334,2887.5,3.079777837520701,"{ ""交通设施"": 140, ""休闲娱乐"": 26, ""公司企业"": 70, ""医疗保健"": 84, ""商务住宅"": 124, ""旅游景点"": 10, ""汽车相关"": 28, ""生活服务"": 328, ""科教文化"": 86, ""购物消费"": 463, ""运动健身"": 24, ""酒店住宿"": 43, ""金融机构"": 31, ""餐饮美食"": 377 }"
115,B00154DH7D,博文园,上海市浦东新区浦东南路3905弄之1-36号,121.502349,31.182954,70.66666666666667,21.666666666666668,29.866666666666667,2475.0,3.314547603687599,"{ ""交通设施"": 163, ""休闲娱乐"": 37, ""公司企业"": 79, ""医疗保健"": 31, ""商务住宅"": 59, ""旅游景点"": 22, ""汽车相关"": 51, ""生活服务"": 182, ""科教文化"": 70, ""购物消费"": 299, ""运动健身"": 69, ""酒店住宿"": 18, ""金融机构"": 29, ""餐饮美食"": 226 }"
116,B00155L418,新昌里,上海市浦东新区昌里东路320弄之1-34号,121.511092,31.175775,73.53333333333333,25.23333333333333,34.71666666666667,6600.0,3.2029496985945287,"{ ""交通设施"": 174, ""休闲娱乐"": 27, ""公司企业"": 69, ""医疗保健"": 72, ""商务住宅"": 120, ""旅游景点"": 2, ""汽车相关"": 49, ""生活服务"": 348, ""科教文化"": 93, ""购物消费"": 393, ""运动健身"": 53, ""酒店住宿"": 28, ""金融机构"": 45, ""餐饮美食"": 249 }"
117,B00156NR6T,旭辉·浦江国际,上海市闵行区联航路1650号,121.513842,31.077334,125.65,33.36666666666667,40.68333333333333,17918.5875,3.0297324170882804,"{ ""交通设施"": 112, ""休闲娱乐"": 22, ""公司企业"": 409, ""医疗保健"": 34, ""商务住宅"": 76, ""旅游景点"": 3, ""汽车相关"": 116, ""生活服务"": 241, ""科教文化"": 56, ""购物消费"": 454, ""运动健身"": 21, ""酒店住宿"": 33, ""金融机构"": 20, ""餐饮美食"": 299 }"
118,B00155L3NH,上南花城,上海市浦东新区耀华路85弄之1-10号、87弄,121.489735,31.178488,56.7,21.55,30.133333333333333,31625.0,3.355658786154873,"{ ""交通设施"": 161, ""休闲娱乐"": 37, ""公司企业"": 144, ""医疗保健"": 22, ""商务住宅"": 92, ""旅游景点"": 34, ""汽车相关"": 35, ""生活服务"": 170, ""科教文化"": 78, ""购物消费"": 298, ""运动健身"": 33, ""酒店住宿"": 21, ""金融机构"": 55, ""餐饮美食"": 204 }"
119,B00155Q424,翡翠别墅(浦锦路),上海市闵行区浦秀北路55弄27号,121.48528,31.10658,77.43333333333334,20.53333333333333,55.766666666666666,8250.0,3.016501045279496,"{ ""交通设施"": 33, ""休闲娱乐"": 5, ""公司企业"": 97, ""医疗保健"": 9, ""商务住宅"": 20, ""旅游景点"": 2, ""汽车相关"": 18, ""生活服务"": 55, ""科教文化"": 26, ""购物消费"": 53, ""运动健身"": 4, ""酒店住宿"": 1, ""餐饮美食"": 86 }"
120,B00155KRZN,昌里花园,上海市浦东新区昌里东路71弄之1号-17号,121.505087,31.177649,66.66666666666667,24.28333333333333,35.13333333333333,13750.0,3.208421638640772,"{ ""交通设施"": 197, ""休闲娱乐"": 42, ""公司企业"": 72, ""医疗保健"": 68, ""商务住宅"": 96, ""旅游景点"": 13, ""汽车相关"": 42, ""生活服务"": 339, ""科教文化"": 113, ""购物消费"": 478, ""运动健身"": 75, ""酒店住宿"": 37, ""金融机构"": 49, ""餐饮美食"": 332 }"
121,B0015364B8,华丰佳园,上海市浦东新区上南路3333弄之1-23号,121.50199,31.159655,44.333333333333336,18.33333333333333,32.416666666666664,13750.0,3.11454614871188,"{ ""交通设施"": 153, ""休闲娱乐"": 28, ""公司企业"": 122, ""医疗保健"": 75, ""商务住宅"": 135, ""旅游景点"": 12, ""汽车相关"": 56, ""生活服务"": 392, ""科教文化"": 87, ""购物消费"": 528, ""运动健身"": 34, ""酒店住宿"": 48, ""金融机构"": 27, ""餐饮美食"": 380 }"
122,B00155DT3N,德州六村(灵岩路),上海市浦东新区灵岩路56弄1-68号,121.491807,31.166493,41.03333333333333,15.6,31.23333333333333,3437.5,3.1345074989466286,"{ ""交通设施"": 135, ""休闲娱乐"": 17, ""公司企业"": 104, ""医疗保健"": 64, ""商务住宅"": 156, ""旅游景点"": 12, ""汽车相关"": 28, ""生活服务"": 332, ""科教文化"": 94, ""购物消费"": 391, ""运动健身"": 20, ""酒店住宿"": 34, ""金融机构"": 30, ""餐饮美食"": 315 }"
